"emp_no","title","from_date","to_date"
74328,"Engineer","1993-11-10","1998-11-10"
74328,"Senior Engineer","1998-11-10","9999-01-01"
74329,"Staff","1989-04-24","1990-11-19"
74330,"Engineer","1994-01-11","2001-01-11"
74330,"Senior Engineer","2001-01-11","9999-01-01"
74331,"Senior Staff","1994-02-03","9999-01-01"
74331,"Staff","1988-02-04","1994-02-03"
74332,"Engineer","1988-06-02","1997-06-02"
74332,"Senior Engineer","1997-06-02","9999-01-01"
74333,"Senior Staff","1987-01-16","9999-01-01"
74334,"Staff","1999-04-29","9999-01-01"
74335,"Engineer","1999-11-27","9999-01-01"
74336,"Senior Staff","1993-10-25","9999-01-01"
74336,"Staff","1988-10-25","1993-10-25"
74337,"Senior Staff","1991-06-04","9999-01-01"
74337,"Staff","1986-06-04","1991-06-04"
74338,"Staff","1985-08-13","1989-12-16"
74339,"Staff","1996-08-25","2002-07-02"
74340,"Senior Staff","1997-08-23","9999-01-01"
74340,"Staff","1992-08-23","1997-08-23"
74341,"Senior Staff","1996-11-14","9999-01-01"
74341,"Staff","1988-11-14","1996-11-14"
74342,"Senior Staff","1993-06-21","9999-01-01"
74342,"Staff","1985-06-21","1993-06-21"
74343,"Engineer","1994-03-10","1999-03-10"
74343,"Senior Engineer","1999-03-10","9999-01-01"
74344,"Engineer","1994-11-25","9999-01-01"
74345,"Staff","1997-12-16","9999-01-01"
74346,"Staff","1998-04-14","9999-01-01"
74347,"Senior Staff","1999-03-07","9999-01-01"
74347,"Staff","1994-03-07","1999-03-07"
74348,"Engineer","1989-05-08","1997-05-08"
74348,"Senior Engineer","1997-05-08","2000-08-20"
74349,"Senior Staff","1995-04-21","9999-01-01"
74350,"Senior Staff","1992-07-19","9999-01-01"
74351,"Senior Engineer","1989-04-30","9999-01-01"
74352,"Engineer","1990-09-05","1997-09-05"
74352,"Senior Engineer","1997-09-05","9999-01-01"
74353,"Engineer","1998-12-30","9999-01-01"
74354,"Senior Staff","1995-06-29","9999-01-01"
74354,"Staff","1988-06-28","1995-06-29"
74355,"Engineer","1993-05-06","1994-04-08"
74356,"Assistant Engineer","1996-03-11","2002-03-11"
74356,"Engineer","2002-03-11","9999-01-01"
74357,"Technique Leader","1999-04-06","9999-01-01"
74358,"Senior Staff","1987-03-06","9999-01-01"
74359,"Staff","1995-05-08","2000-01-15"
74360,"Engineer","1990-04-04","1999-04-03"
74360,"Senior Engineer","1999-04-03","2000-09-01"
74361,"Engineer","1985-09-16","1988-01-06"
74362,"Senior Engineer","1988-01-04","9999-01-01"
74363,"Senior Engineer","1993-12-22","9999-01-01"
74364,"Senior Staff","2000-07-27","9999-01-01"
74364,"Staff","1995-07-28","2000-07-27"
74365,"Engineer","1985-05-03","1991-05-03"
74365,"Senior Engineer","1991-05-03","9999-01-01"
74366,"Staff","1996-03-29","9999-01-01"
74367,"Senior Engineer","1994-04-27","1995-03-20"
74368,"Senior Engineer","1987-09-12","9999-01-01"
74369,"Staff","1995-06-29","9999-01-01"
74370,"Engineer","1995-09-18","2001-09-17"
74370,"Senior Engineer","2001-09-17","9999-01-01"
74371,"Engineer","1996-09-10","9999-01-01"
74372,"Senior Staff","1992-10-23","9999-01-01"
74373,"Engineer","1996-01-04","9999-01-01"
74374,"Engineer","1989-07-30","1994-07-30"
74374,"Senior Engineer","1994-07-30","9999-01-01"
74375,"Engineer","1999-05-02","2001-04-28"
74376,"Senior Staff","2000-12-09","9999-01-01"
74376,"Staff","1993-12-09","2000-12-09"
74377,"Senior Staff","1997-02-23","9999-01-01"
74377,"Staff","1990-02-23","1997-02-23"
74378,"Engineer","1988-02-26","1997-02-25"
74378,"Senior Engineer","1997-02-25","9999-01-01"
74379,"Engineer","1998-04-30","9999-01-01"
74380,"Engineer","1987-03-19","1994-03-19"
74380,"Senior Engineer","1994-03-19","9999-01-01"
74381,"Senior Staff","1997-04-26","9999-01-01"
74381,"Staff","1989-04-26","1997-04-26"
74382,"Staff","1998-06-10","9999-01-01"
74383,"Engineer","1986-08-17","1992-08-16"
74383,"Senior Engineer","1992-08-16","2000-08-04"
74384,"Technique Leader","1987-10-20","9999-01-01"
74385,"Senior Engineer","1992-04-02","9999-01-01"
74386,"Staff","1998-12-09","9999-01-01"
74387,"Senior Engineer","1985-03-26","9999-01-01"
74388,"Engineer","1994-05-01","1999-05-01"
74388,"Senior Engineer","1999-05-01","9999-01-01"
74389,"Engineer","1999-12-11","9999-01-01"
74390,"Senior Staff","1993-09-27","9999-01-01"
74390,"Staff","1986-09-27","1993-09-27"
74391,"Senior Staff","1997-10-23","9999-01-01"
74391,"Staff","1988-10-23","1997-10-23"
74392,"Technique Leader","1996-05-20","2001-07-11"
74393,"Staff","1998-09-10","9999-01-01"
74394,"Senior Staff","2000-09-11","9999-01-01"
74394,"Staff","1995-09-12","2000-09-11"
74395,"Senior Engineer","1989-05-11","9999-01-01"
74396,"Senior Staff","1999-10-17","9999-01-01"
74396,"Staff","1991-10-17","1999-10-17"
74397,"Staff","1994-08-02","9999-01-01"
74398,"Senior Engineer","1985-08-16","9999-01-01"
74399,"Engineer","1995-12-24","9999-01-01"
74400,"Staff","1998-12-24","2000-11-15"
74401,"Engineer","1994-01-01","2001-01-01"
74401,"Senior Engineer","2001-01-01","9999-01-01"
74402,"Senior Staff","2001-02-26","9999-01-01"
74402,"Staff","1992-02-27","2001-02-26"
74403,"Engineer","1990-10-02","1998-10-02"
74403,"Senior Engineer","1998-10-02","9999-01-01"
74404,"Senior Staff","2002-07-01","9999-01-01"
74404,"Staff","1994-07-01","2002-07-01"
74405,"Senior Staff","1995-02-15","9999-01-01"
74405,"Staff","1986-02-15","1995-02-15"
74406,"Engineer","1985-11-05","1993-11-05"
74406,"Senior Engineer","1993-11-05","9999-01-01"
74407,"Engineer","1990-02-18","1998-02-18"
74407,"Senior Engineer","1998-02-18","2001-03-17"
74408,"Engineer","1997-04-21","9999-01-01"
74409,"Assistant Engineer","1999-12-07","9999-01-01"
74410,"Engineer","1996-07-25","1996-12-12"
74411,"Assistant Engineer","1993-10-02","9999-01-01"
74412,"Engineer","1989-01-08","1994-01-08"
74412,"Senior Engineer","1994-01-08","9999-01-01"
74413,"Engineer","1999-11-28","9999-01-01"
74414,"Assistant Engineer","1986-01-09","1993-01-09"
74414,"Engineer","1993-01-09","2000-01-10"
74414,"Senior Engineer","2000-01-10","9999-01-01"
74415,"Technique Leader","1992-03-14","9999-01-01"
74416,"Staff","1998-08-21","2000-08-20"
74417,"Engineer","1996-06-18","9999-01-01"
74418,"Engineer","1986-07-16","1993-07-16"
74418,"Senior Engineer","1993-07-16","9999-01-01"
74419,"Engineer","1993-01-26","2000-01-27"
74419,"Senior Engineer","2000-01-27","9999-01-01"
74420,"Senior Staff","1991-08-02","9999-01-01"
74420,"Staff","1985-08-02","1991-08-02"
74421,"Engineer","1999-03-12","1999-04-18"
74422,"Staff","1998-09-25","9999-01-01"
74423,"Engineer","1989-08-26","1995-08-26"
74423,"Senior Engineer","1995-08-26","9999-01-01"
74424,"Senior Staff","1998-03-14","2000-01-30"
74424,"Staff","1992-03-14","1998-03-14"
74425,"Technique Leader","1988-02-17","9999-01-01"
74426,"Engineer","1999-01-11","2000-05-31"
74427,"Staff","1999-08-05","9999-01-01"
74428,"Senior Engineer","1999-11-09","9999-01-01"
74429,"Senior Staff","1994-07-22","9999-01-01"
74429,"Staff","1985-07-22","1994-07-22"
74430,"Staff","2000-01-09","9999-01-01"
74431,"Engineer","1991-05-18","1991-08-12"
74432,"Engineer","1987-11-14","1993-11-13"
74432,"Senior Engineer","1993-11-13","9999-01-01"
74433,"Senior Staff","1998-05-22","9999-01-01"
74434,"Senior Staff","1998-01-02","1998-02-07"
74434,"Staff","1993-01-02","1998-01-02"
74435,"Engineer","1999-07-07","2002-04-15"
74436,"Senior Staff","1990-07-10","9999-01-01"
74437,"Senior Engineer","1998-10-18","9999-01-01"
74438,"Senior Staff","1996-10-16","9999-01-01"
74438,"Staff","1991-10-17","1996-10-16"
74439,"Senior Engineer","1995-06-02","9999-01-01"
74440,"Staff","1995-01-09","9999-01-01"
74441,"Senior Engineer","1988-06-04","9999-01-01"
74442,"Senior Staff","1994-01-24","9999-01-01"
74442,"Staff","1986-01-24","1994-01-24"
74443,"Senior Engineer","1994-02-28","1996-08-28"
74444,"Senior Staff","1998-05-02","9999-01-01"
74444,"Staff","1992-05-02","1998-05-02"
74445,"Senior Engineer","1999-09-10","9999-01-01"
74446,"Engineer","1990-02-24","1996-02-24"
74446,"Senior Engineer","1996-02-24","9999-01-01"
74447,"Senior Staff","1988-09-08","9999-01-01"
74448,"Engineer","1988-02-23","1994-02-22"
74448,"Senior Engineer","1994-02-22","9999-01-01"
74449,"Engineer","1985-07-24","1992-07-24"
74449,"Senior Engineer","1992-07-24","9999-01-01"
74450,"Engineer","1995-01-02","9999-01-01"
74451,"Assistant Engineer","1986-08-28","1994-08-28"
74451,"Engineer","1994-08-28","9999-01-01"
74452,"Engineer","1998-01-30","1999-05-14"
74453,"Engineer","1997-07-26","9999-01-01"
74454,"Senior Staff","1996-08-31","9999-01-01"
74455,"Senior Staff","1996-10-01","9999-01-01"
74456,"Senior Engineer","1999-06-28","2002-04-19"
74457,"Senior Staff","1990-03-26","9999-01-01"
74458,"Engineer","1989-03-01","1995-03-01"
74458,"Senior Engineer","1995-03-01","9999-01-01"
74459,"Engineer","1995-03-23","2001-03-22"
74459,"Senior Engineer","2001-03-22","9999-01-01"
74460,"Senior Staff","1991-09-18","9999-01-01"
74460,"Staff","1986-09-18","1991-09-18"
74461,"Assistant Engineer","1993-07-28","2002-07-28"
74461,"Engineer","2002-07-28","9999-01-01"
74462,"Staff","1998-02-23","9999-01-01"
74463,"Senior Engineer","1995-05-08","9999-01-01"
74464,"Senior Staff","1987-11-19","9999-01-01"
74465,"Engineer","1999-03-07","2001-04-01"
74466,"Engineer","1993-12-28","9999-01-01"
74467,"Staff","1996-10-23","9999-01-01"
74468,"Senior Staff","1988-07-23","9999-01-01"
74469,"Assistant Engineer","1989-02-26","1994-06-12"
74470,"Technique Leader","1999-04-30","9999-01-01"
74471,"Senior Engineer","1994-03-07","2000-05-26"
74472,"Engineer","1991-07-19","1996-07-18"
74472,"Senior Engineer","1996-07-18","9999-01-01"
74473,"Senior Staff","2000-04-15","9999-01-01"
74473,"Staff","1991-04-16","2000-04-15"
74474,"Engineer","1991-02-21","1997-02-20"
74474,"Senior Engineer","1997-02-20","2001-12-24"
74475,"Senior Staff","2002-05-05","9999-01-01"
74475,"Staff","1993-05-05","2002-05-05"
74476,"Engineer","1992-05-06","2000-05-06"
74476,"Senior Engineer","2000-05-06","9999-01-01"
74477,"Engineer","1998-01-16","9999-01-01"
74478,"Senior Staff","1998-08-25","9999-01-01"
74478,"Staff","1991-08-25","1998-08-25"
74479,"Senior Engineer","1992-03-05","9999-01-01"
74480,"Senior Staff","1996-06-05","2001-03-15"
74481,"Engineer","1996-03-27","9999-01-01"
74482,"Engineer","1985-02-23","1992-02-24"
74482,"Senior Engineer","1992-02-24","9999-01-01"
74483,"Senior Staff","1997-10-05","9999-01-01"
74483,"Staff","1991-10-06","1997-10-05"
74484,"Engineer","1997-06-30","1999-09-01"
74485,"Engineer","1988-10-29","1993-10-29"
74485,"Senior Engineer","1993-10-29","9999-01-01"
74486,"Senior Engineer","1989-12-20","9999-01-01"
74487,"Senior Staff","1987-04-01","9999-01-01"
74488,"Senior Engineer","1990-06-30","9999-01-01"
74489,"Senior Staff","1994-12-03","9999-01-01"
74490,"Senior Staff","2000-05-13","9999-01-01"
74490,"Staff","1995-05-14","2000-05-13"
74491,"Senior Staff","2001-09-02","9999-01-01"
74491,"Staff","1992-09-02","2001-09-02"
74492,"Engineer","1993-11-12","1994-09-28"
74493,"Assistant Engineer","1988-11-10","1996-11-10"
74493,"Engineer","1996-11-10","9999-01-01"
74494,"Engineer","1987-12-07","1996-12-06"
74494,"Senior Engineer","1996-12-06","9999-01-01"
74495,"Senior Staff","1987-04-05","2002-01-04"
74496,"Senior Staff","1993-12-09","9999-01-01"
74496,"Staff","1987-12-10","1993-12-09"
74497,"Engineer","1989-04-12","1996-04-12"
74497,"Senior Engineer","1996-04-12","9999-01-01"
74498,"Senior Staff","1997-10-19","9999-01-01"
74498,"Staff","1990-10-19","1997-10-19"
74499,"Senior Staff","2001-03-30","9999-01-01"
74499,"Staff","1996-03-30","2001-03-30"
74500,"Staff","1999-12-09","9999-01-01"
74501,"Staff","1999-02-15","9999-01-01"
74502,"Senior Staff","1991-04-06","9999-01-01"
74502,"Staff","1986-04-06","1991-04-06"
74503,"Senior Staff","1992-09-10","2000-12-03"
74503,"Staff","1987-09-11","1992-09-10"
74504,"Senior Staff","1999-04-05","9999-01-01"
74504,"Staff","1991-04-05","1999-04-05"
74505,"Staff","1997-12-21","2001-01-18"
74506,"Staff","1998-12-26","9999-01-01"
74507,"Senior Engineer","1992-09-24","9999-01-01"
74508,"Engineer","1994-02-17","1996-07-22"
74509,"Senior Engineer","1988-04-19","9999-01-01"
74510,"Engineer","1997-04-11","9999-01-01"
74511,"Engineer","1990-04-12","1994-01-25"
74512,"Engineer","1997-09-03","9999-01-01"
74513,"Senior Staff","1998-02-12","1999-02-22"
74513,"Staff","1993-02-12","1998-02-12"
74514,"Engineer","1994-01-19","2002-01-19"
74514,"Senior Engineer","2002-01-19","9999-01-01"
74515,"Engineer","1998-09-02","9999-01-01"
74516,"Staff","1997-09-14","9999-01-01"
74517,"Assistant Engineer","1998-01-27","9999-01-01"
74518,"Engineer","1992-05-29","2001-05-29"
74518,"Senior Engineer","2001-05-29","9999-01-01"
74519,"Engineer","1990-07-08","1995-07-08"
74519,"Senior Engineer","1995-07-08","1998-03-27"
74520,"Senior Staff","1995-04-25","1999-05-01"
74521,"Senior Staff","1999-12-04","9999-01-01"
74521,"Staff","1991-12-04","1999-12-04"
74522,"Staff","1997-08-13","9999-01-01"
74523,"Engineer","1993-09-17","2000-09-17"
74523,"Senior Engineer","2000-09-17","9999-01-01"
74524,"Senior Staff","1992-06-16","9999-01-01"
74524,"Staff","1986-06-17","1992-06-16"
74525,"Assistant Engineer","1990-08-04","1998-08-04"
74525,"Engineer","1998-08-04","1999-09-16"
74526,"Engineer","1988-05-25","1993-05-25"
74526,"Senior Engineer","1993-05-25","9999-01-01"
74527,"Senior Staff","1994-12-02","9999-01-01"
74527,"Staff","1985-12-02","1994-12-02"
74528,"Senior Staff","1988-03-06","9999-01-01"
74529,"Engineer","1996-01-01","2001-12-31"
74529,"Senior Engineer","2001-12-31","9999-01-01"
74530,"Senior Staff","1999-02-24","9999-01-01"
74530,"Staff","1990-02-24","1999-02-24"
74531,"Senior Staff","1997-08-06","9999-01-01"
74531,"Staff","1991-08-07","1997-08-06"
74532,"Staff","1987-03-11","1992-02-21"
74533,"Engineer","1987-06-14","1992-06-13"
74533,"Senior Engineer","1992-06-13","9999-01-01"
74534,"Engineer","1991-08-06","1999-08-06"
74534,"Senior Engineer","1999-08-06","9999-01-01"
74535,"Engineer","1985-05-18","1992-05-18"
74535,"Senior Engineer","1992-05-18","9999-01-01"
74536,"Engineer","1987-10-05","1994-10-05"
74536,"Senior Engineer","1994-10-05","9999-01-01"
74537,"Senior Staff","1999-09-10","9999-01-01"
74538,"Senior Engineer","1998-12-23","9999-01-01"
74539,"Engineer","1987-09-29","1994-09-29"
74539,"Senior Engineer","1994-09-29","9999-01-01"
74540,"Technique Leader","1998-08-14","9999-01-01"
74541,"Engineer","1988-09-02","1996-09-02"
74541,"Senior Engineer","1996-09-02","2001-05-14"
74542,"Senior Staff","1997-06-20","9999-01-01"
74542,"Staff","1988-06-20","1997-06-20"
74543,"Senior Engineer","1988-12-05","9999-01-01"
74544,"Technique Leader","1987-11-14","9999-01-01"
74545,"Senior Engineer","1992-08-30","2000-12-14"
74546,"Technique Leader","1998-01-09","9999-01-01"
74547,"Senior Engineer","1994-06-13","9999-01-01"
74548,"Engineer","1995-03-18","9999-01-01"
74549,"Technique Leader","1988-08-14","9999-01-01"
74550,"Engineer","1994-03-26","2000-03-25"
74550,"Senior Engineer","2000-03-25","9999-01-01"
74551,"Senior Engineer","1985-12-01","9999-01-01"
74552,"Senior Staff","1988-01-16","9999-01-01"
74553,"Engineer","1990-08-14","1993-12-29"
74554,"Engineer","1993-01-01","2001-01-01"
74554,"Senior Engineer","2001-01-01","9999-01-01"
74555,"Senior Staff","1997-09-05","9999-01-01"
74555,"Staff","1988-09-05","1997-09-05"
74556,"Engineer","1991-02-20","1999-02-20"
74556,"Senior Engineer","1999-02-20","2000-04-08"
74557,"Senior Staff","1997-09-16","9999-01-01"
74557,"Staff","1989-09-16","1997-09-16"
74558,"Senior Engineer","1995-03-30","9999-01-01"
74559,"Engineer","1993-04-10","2000-04-10"
74559,"Senior Engineer","2000-04-10","9999-01-01"
74560,"Staff","1999-07-15","9999-01-01"
74561,"Engineer","1996-11-12","9999-01-01"
74562,"Engineer","1994-08-07","1996-05-28"
74563,"Engineer","1990-12-21","1997-12-21"
74563,"Senior Engineer","1997-12-21","9999-01-01"
74564,"Engineer","1995-05-05","2002-05-05"
74564,"Senior Engineer","2002-05-05","9999-01-01"
74565,"Technique Leader","1993-06-04","9999-01-01"
74566,"Engineer","1999-07-22","2001-04-28"
74567,"Senior Engineer","1994-05-27","9999-01-01"
74568,"Engineer","1986-11-07","1989-04-26"
74569,"Engineer","1996-02-20","2001-02-19"
74569,"Senior Engineer","2001-02-19","9999-01-01"
74570,"Engineer","1990-12-06","1998-12-06"
74570,"Senior Engineer","1998-12-06","9999-01-01"
74571,"Engineer","1987-11-12","1992-11-11"
74571,"Senior Engineer","1992-11-11","9999-01-01"
74572,"Senior Staff","1992-05-02","9999-01-01"
74573,"Senior Engineer","1996-12-22","9999-01-01"
74574,"Staff","1993-10-07","1996-08-25"
74575,"Senior Staff","1992-12-06","9999-01-01"
74575,"Staff","1987-12-07","1992-12-06"
74576,"Engineer","1986-03-27","1991-03-27"
74576,"Senior Engineer","1991-03-27","9999-01-01"
74577,"Staff","1995-10-31","1997-03-30"
74578,"Engineer","1989-04-07","1995-04-07"
74578,"Senior Engineer","1995-04-07","9999-01-01"
74579,"Engineer","1998-12-13","9999-01-01"
74580,"Engineer","1997-04-25","9999-01-01"
74581,"Engineer","1997-08-17","9999-01-01"
74582,"Senior Engineer","1998-01-28","2002-02-12"
74583,"Staff","1999-04-12","9999-01-01"
74584,"Engineer","1986-08-22","1993-08-22"
74584,"Senior Engineer","1993-08-22","9999-01-01"
74585,"Engineer","1998-08-18","9999-01-01"
74586,"Senior Staff","1996-10-27","9999-01-01"
74586,"Staff","1990-10-28","1996-10-27"
74587,"Senior Staff","2002-06-01","9999-01-01"
74587,"Staff","1993-06-01","2002-06-01"
74588,"Engineer","1997-09-03","9999-01-01"
74589,"Engineer","1995-07-02","2002-05-02"
74590,"Senior Staff","1995-03-04","9999-01-01"
74591,"Engineer","1986-10-24","1995-10-24"
74591,"Senior Engineer","1995-10-24","9999-01-01"
74592,"Engineer","1987-01-29","1993-01-28"
74592,"Senior Engineer","1993-01-28","9999-01-01"
74593,"Senior Staff","1998-02-18","9999-01-01"
74593,"Staff","1989-02-18","1998-02-18"
74594,"Senior Staff","1998-02-08","9999-01-01"
74594,"Staff","1991-02-08","1998-02-08"
74595,"Engineer","1994-09-03","2000-01-16"
74596,"Senior Staff","1986-12-12","9999-01-01"
74597,"Engineer","1989-06-02","1994-06-02"
74597,"Senior Engineer","1994-06-02","9999-01-01"
74598,"Senior Staff","1992-05-10","1999-03-07"
74599,"Staff","1998-01-24","9999-01-01"
74600,"Assistant Engineer","1988-04-26","1995-04-27"
74600,"Engineer","1995-04-27","2002-04-27"
74600,"Senior Engineer","2002-04-27","9999-01-01"
74601,"Engineer","1990-12-17","1997-12-17"
74601,"Senior Engineer","1997-12-17","9999-01-01"
74602,"Technique Leader","1997-02-03","9999-01-01"
74603,"Engineer","1995-06-24","2000-06-23"
74603,"Senior Engineer","2000-06-23","9999-01-01"
74604,"Senior Engineer","1985-11-15","1986-11-26"
74605,"Engineer","1994-01-19","9999-01-01"
74606,"Engineer","2000-01-22","9999-01-01"
74607,"Engineer","1990-04-08","1995-04-08"
74607,"Senior Engineer","1995-04-08","9999-01-01"
74608,"Staff","1995-06-09","9999-01-01"
74609,"Engineer","1999-07-01","9999-01-01"
74610,"Senior Engineer","1996-04-22","2001-09-14"
74611,"Staff","1999-08-11","9999-01-01"
74612,"Staff","1994-01-15","1996-10-26"
74613,"Senior Staff","1997-06-25","9999-01-01"
74613,"Staff","1990-06-25","1997-06-25"
74614,"Senior Engineer","1998-08-15","9999-01-01"
74615,"Engineer","1993-02-21","1994-12-03"
74616,"Engineer","1991-08-04","1996-08-03"
74616,"Senior Engineer","1996-08-03","9999-01-01"
74617,"Senior Staff","1994-03-11","9999-01-01"
74617,"Staff","1989-03-11","1994-03-11"
74618,"Engineer","1996-06-19","9999-01-01"
74619,"Senior Engineer","1999-12-29","9999-01-01"
74620,"Staff","1999-04-17","1999-07-13"
74621,"Engineer","1995-11-28","2001-11-27"
74621,"Senior Engineer","2001-11-27","9999-01-01"
74622,"Engineer","1998-12-28","9999-01-01"
74623,"Engineer","1990-10-06","1996-10-05"
74623,"Senior Engineer","1996-10-05","9999-01-01"
74624,"Senior Engineer","1997-01-20","9999-01-01"
74625,"Senior Staff","1993-01-28","9999-01-01"
74625,"Staff","1988-01-29","1993-01-28"
74626,"Senior Staff","1997-04-27","9999-01-01"
74626,"Staff","1988-04-27","1997-04-27"
74627,"Senior Staff","1991-11-18","9999-01-01"
74628,"Engineer","1995-11-23","9999-01-01"
74629,"Senior Staff","1992-02-12","1998-07-09"
74630,"Senior Staff","1998-09-27","9999-01-01"
74630,"Staff","1991-09-27","1998-09-27"
74631,"Staff","1997-11-24","9999-01-01"
74632,"Assistant Engineer","1986-06-10","1992-06-09"
74632,"Engineer","1992-06-09","1998-06-09"
74632,"Senior Engineer","1998-06-09","9999-01-01"
74633,"Senior Engineer","1990-12-28","9999-01-01"
74634,"Senior Staff","1996-11-26","9999-01-01"
74634,"Staff","1987-11-27","1996-11-26"
74635,"Senior Staff","1994-06-14","9999-01-01"
74635,"Staff","1988-06-14","1994-06-14"
74636,"Engineer","1996-02-14","2001-02-13"
74636,"Senior Engineer","2001-02-13","9999-01-01"
74637,"Staff","1995-12-17","1999-03-31"
74638,"Senior Staff","1992-07-16","9999-01-01"
74638,"Staff","1987-07-17","1992-07-16"
74639,"Technique Leader","1985-02-20","9999-01-01"
74640,"Engineer","1995-07-16","9999-01-01"
74641,"Senior Engineer","1996-08-08","9999-01-01"
74642,"Assistant Engineer","1988-03-14","1996-03-14"
74642,"Engineer","1996-03-14","9999-01-01"
74643,"Senior Staff","2001-12-10","9999-01-01"
74643,"Staff","1994-12-10","2001-12-10"
74644,"Staff","1993-10-11","1999-12-28"
74645,"Engineer","1988-12-04","1994-12-04"
74645,"Senior Engineer","1994-12-04","9999-01-01"
74646,"Senior Staff","1995-12-29","9999-01-01"
74647,"Engineer","1985-10-01","1992-10-01"
74647,"Senior Engineer","1992-10-01","1997-10-01"
74648,"Senior Staff","1993-04-12","9999-01-01"
74648,"Staff","1988-04-12","1993-04-12"
74649,"Assistant Engineer","1992-03-22","1998-03-22"
74649,"Engineer","1998-03-22","9999-01-01"
74650,"Engineer","1999-01-12","1999-07-13"
74651,"Engineer","1991-02-28","2000-02-28"
74651,"Senior Engineer","2000-02-28","9999-01-01"
74652,"Staff","1991-10-21","1996-04-15"
74653,"Engineer","1996-08-05","9999-01-01"
74654,"Senior Engineer","1988-06-16","9999-01-01"
74655,"Senior Staff","1986-01-04","9999-01-01"
74656,"Engineer","1987-10-05","1995-10-05"
74656,"Senior Engineer","1995-10-05","9999-01-01"
74657,"Senior Staff","1999-01-13","9999-01-01"
74658,"Staff","1997-09-04","9999-01-01"
74659,"Engineer","1991-01-10","2000-01-10"
74659,"Senior Engineer","2000-01-10","9999-01-01"
74660,"Senior Staff","1999-12-15","2001-04-04"
74661,"Staff","1997-07-16","9999-01-01"
74662,"Staff","1999-04-01","9999-01-01"
74663,"Engineer","1999-07-14","9999-01-01"
74664,"Engineer","1989-03-30","1996-03-30"
74664,"Senior Engineer","1996-03-30","2002-07-31"
74665,"Staff","1994-03-19","9999-01-01"
74666,"Engineer","1991-06-23","1997-06-22"
74666,"Senior Engineer","1997-06-22","9999-01-01"
74667,"Senior Engineer","1996-06-20","9999-01-01"
74668,"Senior Staff","1987-04-09","9999-01-01"
74669,"Senior Staff","1989-12-04","2001-11-26"
74670,"Engineer","1998-06-01","9999-01-01"
74671,"Senior Staff","2001-10-11","9999-01-01"
74671,"Staff","1994-10-11","2001-10-11"
74672,"Senior Engineer","1986-09-07","9999-01-01"
74673,"Engineer","1995-01-28","2002-01-28"
74673,"Senior Engineer","2002-01-28","9999-01-01"
74674,"Engineer","1992-06-12","2001-06-12"
74674,"Senior Engineer","2001-06-12","9999-01-01"
74675,"Engineer","1996-10-28","9999-01-01"
74676,"Engineer","1987-09-27","1996-09-26"
74676,"Senior Engineer","1996-09-26","9999-01-01"
74677,"Senior Staff","1992-12-08","9999-01-01"
74678,"Engineer","1997-11-29","1999-07-18"
74679,"Assistant Engineer","1993-10-09","2001-10-09"
74679,"Engineer","2001-10-09","9999-01-01"
74680,"Staff","1998-02-17","9999-01-01"
74681,"Engineer","1994-03-15","2000-03-14"
74681,"Senior Engineer","2000-03-14","9999-01-01"
74682,"Engineer","1992-09-15","1998-09-15"
74682,"Senior Engineer","1998-09-15","2000-08-16"
74683,"Senior Staff","1996-07-20","9999-01-01"
74683,"Staff","1988-07-20","1996-07-20"
74684,"Senior Staff","2000-06-09","9999-01-01"
74684,"Staff","1991-06-10","2000-06-09"
74685,"Senior Staff","1988-10-10","9999-01-01"
74686,"Engineer","1986-11-08","1986-12-14"
74687,"Assistant Engineer","1988-10-08","1993-10-08"
74687,"Engineer","1993-10-08","1998-10-08"
74687,"Senior Engineer","1998-10-08","9999-01-01"
74688,"Senior Staff","2002-01-24","9999-01-01"
74688,"Staff","1994-01-24","2002-01-24"
74689,"Assistant Engineer","1993-03-10","1996-08-17"
74690,"Engineer","1988-03-03","1993-03-03"
74690,"Senior Engineer","1993-03-03","9999-01-01"
74691,"Engineer","1993-12-08","1998-05-09"
74692,"Senior Staff","1999-01-22","9999-01-01"
74692,"Staff","1992-01-22","1999-01-22"
74693,"Engineer","1994-10-13","1999-10-13"
74693,"Senior Engineer","1999-10-13","9999-01-01"
74694,"Engineer","1985-04-05","1989-12-13"
74695,"Engineer","1987-04-25","1995-04-25"
74695,"Senior Engineer","1995-04-25","9999-01-01"
74696,"Engineer","1996-07-09","2001-07-09"
74696,"Senior Engineer","2001-07-09","9999-01-01"
74697,"Technique Leader","1996-06-27","9999-01-01"
74698,"Engineer","1996-11-03","9999-01-01"
74699,"Assistant Engineer","1986-02-11","1994-02-11"
74699,"Engineer","1994-02-11","2002-02-11"
74699,"Senior Engineer","2002-02-11","9999-01-01"
74700,"Engineer","1995-07-03","2002-07-03"
74700,"Senior Engineer","2002-07-03","9999-01-01"
74701,"Assistant Engineer","1994-01-11","2002-01-11"
74701,"Engineer","2002-01-11","9999-01-01"
74702,"Engineer","1999-05-22","2001-07-06"
74703,"Senior Staff","1989-12-29","9999-01-01"
74704,"Senior Staff","1995-07-27","9999-01-01"
74704,"Staff","1990-07-27","1995-07-27"
74705,"Staff","1995-06-27","1995-09-25"
74706,"Engineer","1991-09-08","1999-09-08"
74706,"Senior Engineer","1999-09-08","9999-01-01"
74707,"Senior Engineer","1991-07-10","9999-01-01"
74708,"Senior Staff","1993-02-01","1996-03-06"
74709,"Engineer","1996-05-11","9999-01-01"
