emp_no,salary,from_date,to_date
106383,80175,1988-07-25,1989-07-25
106384,56545,1999-12-27,2000-12-26
106385,58882,1992-02-04,1993-02-03
106386,41732,1998-03-13,1998-08-24
106387,72274,1990-05-01,1991-05-01
106388,107550,1998-04-22,1999-04-22
106389,40000,1993-01-13,1994-01-13
106390,40000,1992-05-06,1993-05-06
106391,68240,1988-10-13,1989-10-13
106392,51168,1993-09-12,1994-09-12
106393,67310,1987-01-16,1988-01-16
106394,67276,1989-09-01,1990-09-01
106395,58571,1994-12-09,1995-12-09
106396,40000,1992-02-06,1993-02-05
106397,40000,1991-02-08,1992-02-08
106398,60301,1996-02-25,1997-02-24
106399,45022,1993-04-05,1994-04-05
106400,57658,1997-11-05,1998-11-05
106401,40000,2000-01-25,2001-01-24
106402,40000,1990-06-24,1991-06-24
106403,84119,1991-03-19,1992-03-18
106404,50271,1996-04-05,1997-04-05
106405,40000,2000-01-05,2001-01-04
106406,40000,1996-12-30,1997-12-30
106407,40000,1986-03-06,1987-03-06
106408,53336,1988-09-20,1989-09-20
106409,40000,1994-01-09,1995-01-09
106410,40000,1987-02-24,1988-02-24
106411,40000,1996-03-02,1997-03-02
106412,40000,1991-09-02,1992-09-01
106413,40000,1989-03-06,1990-03-06
106414,40000,1989-03-25,1990-03-25
106415,41003,1985-09-22,1986-09-22
106416,42081,1995-03-10,1996-03-09
106417,40000,1995-07-06,1996-07-05
106418,57836,1991-12-12,1992-12-11
106419,40000,1995-11-02,1996-11-01
106420,65868,1992-03-27,1993-03-27
106421,40000,1999-09-29,2000-09-28
106422,57879,1986-07-02,1987-07-02
106423,40000,1987-02-06,1988-02-06
106424,87068,1991-10-25,1992-10-24
106425,47711,1988-08-07,1989-08-07
106426,40000,1985-05-08,1986-05-08
106427,40000,1992-12-29,1993-12-29
106428,59164,1987-06-15,1988-06-14
106429,49426,1988-12-27,1989-12-27
106430,40000,1987-11-11,1988-11-10
106431,62772,1985-11-23,1986-11-23
106432,59600,1987-05-22,1988-05-21
106433,79961,1989-10-02,1990-10-02
106434,57181,1989-05-06,1990-05-06
106435,62696,1986-05-17,1987-05-17
106436,57793,1988-11-15,1989-11-15
106437,56238,1992-04-23,1993-04-23
106438,40000,1994-10-21,1995-10-21
106439,43633,1987-06-14,1988-06-13
106440,46186,1991-09-26,1992-09-25
106441,68396,1985-04-11,1986-04-11
106442,61615,1992-10-11,1993-10-11
106443,59223,1998-09-07,1999-09-07
106444,59913,1985-03-05,1986-03-05
106445,70298,1986-03-15,1987-03-15
106446,40000,1997-06-07,1998-06-07
106447,49865,1986-05-06,1987-05-06
106448,42326,1997-05-27,1998-05-27
106449,43291,1986-07-12,1987-07-12
106450,42367,1993-10-18,1994-10-18
106451,67407,1989-08-01,1990-08-01
106452,60523,1989-04-11,1990-04-11
106453,53053,1994-03-13,1995-03-13
106454,64487,1986-08-23,1987-08-23
106455,40000,1994-01-15,1995-01-15
106456,40000,1996-07-14,1997-07-14
106457,46491,1996-10-19,1997-10-19
106458,62887,1993-03-02,1994-03-02
106459,71772,1988-06-08,1989-06-08
106460,73074,1989-09-26,1990-09-26
106461,48793,1991-08-05,1992-08-04
106462,47904,1992-12-05,1993-12-05
106463,41222,1986-06-05,1987-06-05
106464,78196,1997-01-07,1998-01-07
106465,40000,1987-07-25,1988-07-24
106466,47606,1985-12-21,1986-12-21
106467,40000,1990-07-02,1991-07-02
106468,46256,1997-05-15,1998-05-15
106469,53414,1993-07-16,1994-07-16
106470,40000,1991-04-15,1992-04-14
106471,61855,1991-09-20,1992-09-19
106472,69292,1990-09-29,1991-09-29
106473,61614,1985-06-05,1986-06-05
106474,47610,1987-12-09,1988-12-08
106475,48360,1988-11-15,1989-11-15
106476,70351,1991-10-17,1992-10-16
106477,40000,1994-09-29,1995-09-29
106478,45069,1995-04-05,1996-04-03
106479,40000,1988-01-03,1989-01-02
106480,59258,1995-07-15,1996-07-14
106481,40000,1985-02-17,1986-02-17
106482,77323,1986-06-25,1987-06-25
106483,48272,1993-05-07,1994-05-07
106484,86775,1996-05-05,1997-05-05
106485,73638,1987-11-21,1988-11-20
106486,40000,1992-02-13,1993-02-12
106487,61975,1988-05-12,1989-05-12
106488,46748,1996-02-23,1997-02-22
106489,49206,1992-05-02,1993-05-02
106490,83685,1995-02-20,1996-02-20
106491,46675,1996-01-04,1997-01-03
106492,48965,1988-08-14,1989-08-14
106493,40000,1991-07-14,1992-07-13
106494,71350,1989-09-23,1990-09-23
106495,47408,1990-05-04,1991-05-04
106496,40000,1988-04-25,1989-04-25
106497,45972,1994-01-02,1995-01-02
106498,40000,1989-01-01,1990-01-01
106499,68960,1997-03-16,1998-03-16
106500,54648,1987-07-21,1988-07-20
106501,40000,1992-01-23,1993-01-22
106502,40000,1999-07-31,2000-07-30
106503,40000,1995-04-02,1996-04-01
106504,40000,1988-10-09,1989-10-09
106505,40000,1987-10-07,1988-10-06
106506,63677,1997-05-09,1998-05-09
106507,72738,1999-03-30,2000-03-29
106508,40000,1986-09-29,1987-09-29
106509,70057,1992-12-17,1993-12-17
106510,46297,1994-01-23,1995-01-23
106511,40000,1991-07-26,1992-07-25
106512,47230,1997-10-10,1998-10-10
106513,68909,1995-05-16,1996-05-15
106514,52638,1988-07-30,1989-07-30
106515,40000,1998-12-04,1999-12-04
106516,51453,1992-07-05,1993-07-05
106517,40000,1993-07-14,1994-07-14
106518,81924,1999-12-04,2000-12-03
106519,40000,1995-04-23,1996-04-22
106520,59681,1994-06-25,1995-06-25
106521,47577,1989-04-27,1990-04-27
106522,40555,1996-01-26,1997-01-25
106523,40000,1998-10-24,1999-10-24
106524,40000,1993-11-11,1994-11-11
106525,65074,1992-10-03,1993-10-03
106526,55035,1998-07-14,1999-07-14
106527,40000,1989-04-25,1990-04-25
106528,78718,1989-04-04,1990-04-04
106529,40000,1995-02-24,1996-02-24
106530,40000,1992-09-06,1993-09-06
106531,51029,1985-10-14,1986-10-14
106532,47147,1995-05-13,1996-05-12
106533,40000,1997-11-30,1998-11-30
106534,40000,1997-05-02,1998-05-02
106535,40000,1996-09-17,1997-09-17
106536,40000,1995-09-30,1996-09-29
106537,40000,1990-12-18,1991-12-18
106538,40000,2000-01-03,2001-01-02
106539,53152,1994-04-16,1995-04-16
106540,40000,1992-07-19,1993-07-19
106541,62253,1991-04-19,1992-04-18
106542,40000,1995-09-05,1996-09-04
106543,40000,1987-12-16,1988-12-15
106544,40000,1999-04-19,2000-04-18
106545,61006,1994-04-11,1995-04-11
106546,40000,1992-06-14,1993-06-14
106547,62082,1985-05-26,1986-05-26
106548,40000,1998-06-03,1999-06-03
106549,60352,1991-12-13,1992-12-12
106550,62155,1991-11-13,1992-11-12
106551,73167,1999-05-16,2000-05-15
106552,49915,1987-01-21,1988-01-21
106553,40000,1995-03-04,1995-03-24
106554,43210,1999-12-06,2000-12-05
106555,72049,1996-07-07,1997-07-07
106556,65460,1993-03-10,1994-03-10
106557,54033,1993-05-13,1994-05-13
106558,41656,1987-02-09,1988-02-09
106559,73388,1989-12-06,1990-12-06
106560,40000,1988-10-27,1989-10-27
106561,40000,1998-05-23,1999-05-23
106562,77606,1991-09-01,1992-08-31
106563,40000,1985-05-12,1986-05-12
106564,40000,1988-03-11,1989-03-11
106565,40000,1996-08-06,1997-08-06
106566,51804,1990-09-27,1991-09-27
106567,40000,1986-10-14,1987-10-14
106568,40000,1991-07-01,1992-06-30
106569,40000,1990-10-25,1991-10-25
106570,40000,1997-05-23,1998-05-23
106571,49226,1995-08-03,1996-08-02
106572,62935,1993-10-06,1994-10-06
106573,57164,1987-03-01,1988-02-29
106574,51139,1989-11-21,1990-11-21
106575,68627,1993-09-30,1994-09-30
106576,70006,1998-09-18,1999-09-18
106577,74295,1999-06-30,2000-06-29
106578,40000,1995-12-07,1996-12-06
106579,40000,1985-02-25,1986-02-25
106580,85028,1999-06-18,2000-06-17
106581,40000,1992-09-05,1993-09-05
106582,43391,1985-06-16,1986-06-16
106583,40000,1995-10-06,1996-10-05
106584,40000,1985-12-18,1986-12-18
106585,40000,1989-03-07,1990-03-07
106586,63552,1989-12-25,1990-12-25
106587,40000,1997-04-20,1998-04-20
106588,41806,1988-11-10,1989-11-10
106589,72652,1987-03-09,1988-03-08
106590,71239,1990-01-18,1991-01-18
106591,41831,1991-01-25,1992-01-25
106592,40000,1985-04-24,1986-04-24
106593,40000,1996-12-30,1997-12-30
106594,42844,1999-07-29,2000-07-28
106595,40000,1992-10-11,1993-10-11
106596,89504,1999-11-25,2000-11-24
106597,40000,1996-07-19,1997-07-19
106598,52301,1992-04-15,1993-04-15
106599,40000,1986-07-12,1987-07-12
106600,40000,1997-07-15,1998-07-15
106601,40000,1990-09-15,1991-09-15
106602,40000,1995-07-04,1996-07-03
106603,46551,1985-08-13,1986-08-13
106604,40000,1990-06-21,1991-06-21
106605,40000,1998-05-16,1999-05-16
106606,40000,1985-08-19,1986-08-19
106607,57159,1985-06-07,1986-06-07
106608,58158,1988-04-11,1989-04-11
106609,72849,1990-09-24,1991-09-24
106610,40000,1992-10-02,1993-10-02
106611,40000,1988-08-26,1989-08-26
106612,51704,1992-09-05,1993-09-05
106613,40000,1993-05-16,1994-05-16
106614,50727,1998-07-25,1999-07-25
106615,40000,1985-09-03,1986-09-03
106616,40000,1988-07-04,1989-07-04
106617,40000,1994-11-16,1995-11-16
106618,40000,1987-08-25,1988-08-24
106619,40000,1998-08-03,1999-08-03
106620,40000,1993-01-25,1994-01-25
106621,40234,1999-01-30,2000-01-30
106622,40000,1991-11-16,1992-11-15
106623,40000,1995-02-04,1996-02-04
106624,53032,1993-05-30,1994-05-30
106625,40000,1998-05-21,1999-05-21
106626,51744,1996-04-19,1997-04-15
106627,56219,1999-03-31,2000-03-30
106628,40000,1999-08-20,2000-08-19
106629,46301,1990-05-31,1991-05-31
106630,101633,1987-05-02,1988-05-01
106631,53822,1999-07-01,2000-06-30
106632,62708,1987-07-22,1988-07-21
106633,40000,1985-10-28,1986-10-28
106634,77974,1990-08-06,1991-08-06
106635,64443,1995-05-06,1996-05-05
106636,40000,1995-06-25,1996-06-24
106637,40000,1995-05-12,1996-05-11
106638,63873,1985-12-20,1986-12-20
106639,70031,1987-06-29,1988-06-28
106640,58519,1992-10-27,1993-10-27
106641,40000,1999-11-19,2000-11-18
106642,70846,1996-09-27,1997-09-27
106643,40000,1987-12-16,1988-12-15
106644,103171,1992-06-13,1993-06-13
106645,59196,1987-12-03,1988-12-02
106646,40000,1987-11-01,1988-10-31
106647,58987,1990-03-28,1991-03-28
106648,55524,1994-07-31,1995-07-31
106649,40000,1991-02-09,1992-02-09
106650,50297,1995-02-16,1996-02-16
106651,87679,1986-06-27,1987-06-27
106652,74217,1997-01-04,1998-01-04
106653,40000,1989-01-11,1990-01-11
106654,67710,1993-11-16,1994-11-16
106655,40000,1992-10-21,1993-10-21
106656,40000,1995-01-13,1996-01-13
106657,67933,1996-03-04,1997-03-04
106658,74508,1999-01-27,2000-01-27
106659,59685,1990-09-29,1991-09-29
106660,40000,1989-05-11,1990-05-11
106661,60061,1995-01-17,1996-01-17
106662,40000,1994-05-04,1995-05-04
106663,46499,1997-08-11,1998-08-11
106664,70639,1996-09-09,1997-09-09
106665,40000,1996-02-26,1997-02-25
106666,78877,1988-08-30,1989-08-30
106667,50340,1985-07-25,1986-07-25
106668,57557,1990-05-10,1991-05-10
106669,59503,1987-02-04,1988-02-04
106670,53246,1996-10-20,1997-10-20
106671,47893,1999-03-11,2000-03-10
106672,41015,1992-06-22,1993-06-22
106673,96834,1994-12-22,1995-12-22
106674,59776,1994-09-25,1995-09-25
106675,60157,1993-12-30,1994-12-30
106676,43800,1994-11-22,1995-11-22
106677,41345,1993-05-02,1994-05-02
106678,42908,1985-10-25,1986-10-25
106679,40500,1993-04-19,1994-04-19
106680,63845,1997-10-28,1998-10-28
106681,40000,1991-12-02,1992-12-01
106682,61496,1986-10-12,1987-10-12
106683,44792,1998-12-28,1999-12-28
106684,70215,1988-10-11,1989-10-11
106685,46309,1999-12-05,2000-12-04
106686,68661,1994-09-10,1995-09-10
106687,40000,1997-01-28,1998-01-28
106688,40000,1998-11-18,1999-11-18
106689,48633,1990-12-12,1991-12-12
106690,40963,1987-04-12,1988-04-11
106691,40000,1997-02-26,1998-02-26
106692,40000,1985-02-22,1986-02-22
106693,40000,1990-04-08,1991-04-08
106694,46303,1993-12-05,1994-12-05
106695,52364,1985-10-02,1986-10-02
106696,50599,1994-07-21,1995-07-21
106697,46041,1998-03-10,1999-03-10
106698,64759,1998-09-13,1999-09-13
106699,45686,1986-12-23,1987-12-23
106700,40000,1990-02-05,1991-02-05
106701,40000,1990-10-16,1991-10-16
106702,60704,1994-05-09,1995-05-09
106703,40000,1985-02-17,1986-02-17
106704,50581,1999-02-04,2000-02-04
106705,71663,1992-10-18,1993-10-18
106706,46262,1993-04-15,1994-04-15
106707,69081,1997-08-01,1998-08-01
106708,40867,1991-01-19,1992-01-19
106709,44637,1990-05-16,1991-05-16
106710,60537,1986-11-22,1987-11-22
106711,64753,1992-11-18,1993-04-20
106712,84885,1995-07-02,1996-07-01
106713,83769,1995-02-12,1996-02-12
106714,68992,1994-03-29,1995-03-29
106715,40000,1997-12-17,1998-12-17
106716,53868,1989-12-03,1990-12-03
106717,58835,1994-02-27,1995-02-27
106718,40000,1989-08-28,1990-08-28
106719,76724,1990-04-23,1991-04-23
106720,57965,1998-10-10,1999-10-10
106721,53043,1999-10-25,2000-10-24
106722,54610,1995-12-28,1996-12-27
106723,45252,1995-03-05,1996-03-04
106724,69938,1987-03-24,1988-03-23
106725,79225,1996-05-15,1997-05-15
106726,71989,1996-08-26,1997-08-26
106727,67947,1995-02-20,1996-02-20
106728,48709,1986-12-18,1987-12-18
106729,40000,1995-05-26,1996-05-25
106730,41257,1999-09-15,2000-09-14
106731,54930,1989-01-09,1990-01-09
106732,40000,1991-09-02,1992-09-01
106733,67821,1990-05-05,1991-05-05
106734,72431,1986-05-06,1987-05-06
106735,40000,1989-07-21,1990-07-21
106736,41285,1986-06-27,1987-06-27
106737,56136,1995-05-05,1996-05-04
106738,77209,1994-02-03,1995-02-03
106739,53738,1994-03-14,1995-03-14
106740,62005,1998-10-19,1999-03-25
106741,79081,1987-12-01,1988-11-30
106742,59998,1986-12-01,1987-12-01
106743,40000,1996-06-07,1997-06-07
106744,41052,1987-02-16,1988-02-16
106745,40000,1994-08-26,1995-08-26
106746,63607,1985-04-15,1986-04-15
106747,51820,1999-10-25,2000-10-24
106748,41129,1990-11-09,1991-11-09
106749,50395,1993-12-04,1994-12-04
106750,40000,1988-11-22,1989-11-22
106751,94725,1995-08-05,1996-08-04
106752,62469,1995-09-24,1996-09-23
106753,56792,1994-09-05,1995-09-05
106754,40000,1988-04-25,1989-04-25
106755,52413,1994-12-08,1995-12-08
106756,71811,1998-10-16,1999-10-16
106757,40000,1990-05-13,1991-05-13
106758,51395,1994-07-08,1995-07-08
106759,45207,1990-06-13,1991-06-13
106760,44607,1986-06-27,1987-06-27
106761,80251,1987-06-22,1988-06-21
106762,89034,1986-05-27,1987-05-27
106763,61774,1997-06-19,1998-06-19
106764,41988,1986-03-12,1987-03-12
106765,85567,1988-07-08,1989-07-08
106766,73120,1987-01-02,1988-01-02
106767,71032,1999-05-21,2000-05-20
106768,40000,1989-05-03,1990-05-03
106769,51528,1989-12-08,1990-12-08
106770,76622,1988-03-02,1989-03-02
106771,57042,1997-06-30,1998-06-30
106772,70551,1993-07-09,1994-07-09
106773,45174,1986-02-11,1987-02-11
106774,44363,1996-08-13,1997-08-13
106775,45570,1989-10-25,1990-10-25
106776,53498,1991-11-16,1992-11-15
106777,60627,1996-09-07,1997-09-07
106778,58937,1986-06-24,1987-06-24
106779,61427,1999-12-29,2000-12-28
106780,40000,1994-12-03,1995-12-03
106781,56773,1985-04-20,1986-04-20
106782,40000,1994-02-25,1995-02-25
106783,47813,1986-08-26,1987-08-26
106784,40000,1993-10-14,1994-10-14
106785,40000,1994-04-13,1995-04-13
106786,43095,1986-06-03,1987-06-03
106787,58678,1995-06-07,1996-06-06
106788,40000,1988-07-10,1989-07-10
106789,40000,1990-12-30,1991-12-30
106790,40000,1991-04-07,1992-04-06
106791,67181,1990-09-01,1991-09-01
106792,40681,1986-09-07,1987-09-07
106793,45071,1988-04-08,1989-04-08
106794,61960,1988-10-03,1989-10-03
106795,40858,1990-09-21,1991-09-21
106796,44337,1989-12-14,1990-12-14
106797,58863,1987-11-26,1988-11-25
106798,59998,1995-10-04,1996-10-03
106799,44911,1991-01-20,1992-01-20
106800,45005,1995-12-03,1996-11-02
106801,40000,1998-03-05,1999-03-05
106802,58211,1998-10-17,1999-10-17
106803,48698,1996-07-29,1997-07-29
106804,57458,1992-07-08,1993-07-08
106805,84260,1988-03-30,1989-03-30
106806,61905,1998-10-05,1999-10-05
106807,53353,2000-01-18,2001-01-17
106808,52082,1994-09-13,1995-09-13
106809,60792,1994-06-17,1995-06-17
106810,85057,1999-07-03,2000-07-02
106811,78580,1991-03-01,1992-02-29
106812,69887,1991-04-09,1992-04-08
106813,60038,1991-01-20,1992-01-20
106814,40000,1994-05-28,1995-05-28
106815,40000,1996-06-29,1997-06-29
106816,40000,1999-07-27,2000-07-26
106817,84953,1994-12-27,1995-12-27
106818,50501,1996-05-13,1997-05-13
106819,50336,1988-08-20,1989-08-20
106820,40000,1991-11-21,1992-11-20
106821,54854,1997-06-29,1998-06-29
106822,40000,1991-05-29,1992-05-28
106823,44396,1998-09-18,1999-09-18
106824,53706,1985-02-16,1986-02-16
106825,43981,1987-07-23,1988-07-22
106826,82436,1990-03-23,1991-03-23
106827,60453,1999-12-11,2000-12-10
106828,59127,1989-02-13,1990-02-13
106829,46484,1990-08-02,1991-08-02
106830,66732,1994-09-13,1995-09-13
106831,98742,1996-01-09,1997-01-08
106832,58302,1994-07-22,1995-07-22
106833,40000,1993-07-31,1994-07-31
106834,62543,1993-03-11,1994-03-11
106835,87750,1992-01-07,1993-01-06
106836,49410,1993-03-11,1994-03-11
106837,72614,1986-05-12,1987-05-12
106838,60711,1999-01-17,2000-01-17
106839,69784,1996-10-15,1997-10-15
106840,40000,1986-03-28,1987-03-28
106841,57117,1991-11-21,1992-11-20
106842,40000,1996-04-28,1997-04-28
106843,64995,1985-03-06,1986-03-06
106844,70218,1991-06-19,1992-06-18
106845,43858,1997-03-18,1998-03-18
106846,60305,1995-03-06,1996-03-05
106847,40000,1989-11-13,1990-11-13
106848,40000,1995-08-19,1996-08-18
106849,40000,1995-04-25,1996-04-24
106850,40000,1996-08-24,1997-08-24
106851,48238,1997-05-31,1998-05-31
106852,54303,1991-03-13,1992-03-12
106853,60908,1992-01-27,1993-01-26
106854,60926,1992-12-27,1993-12-27
106855,40000,1994-10-20,1995-10-20
106856,69851,1995-03-04,1996-03-03
106857,85335,1991-06-26,1992-06-25
106858,44300,1999-09-28,2000-09-27
106859,59321,1997-11-11,1998-11-11
106860,59793,1993-03-24,1994-03-24
106861,40000,1986-08-15,1987-08-15
106862,40000,1994-10-26,1995-09-04
106863,61646,1990-02-07,1991-02-07
106864,94054,1993-10-17,1994-10-17
106865,40000,1987-12-30,1988-12-29
106866,51325,1992-12-19,1993-12-19
106867,40000,1990-08-19,1991-08-19
106868,70730,1989-12-13,1990-12-13
106869,43859,1995-08-28,1996-08-27
106870,75301,1990-10-03,1991-10-03
106871,40000,1992-07-31,1993-07-31
106872,57817,1991-06-05,1992-06-04
106873,61563,1985-11-28,1986-11-28
106874,79171,1993-01-14,1994-01-14
106875,40668,1993-10-12,1994-10-12
106876,87356,1994-10-27,1995-10-27
106877,56319,1988-05-21,1989-05-21
106878,81102,1991-08-25,1992-08-24
106879,54048,1994-06-02,1995-06-02
106880,75901,1992-07-08,1993-07-08
106881,43132,1994-03-26,1995-03-26
106882,40000,1990-07-10,1991-07-10
106883,66968,1997-02-27,1998-02-27
106884,40000,1994-05-17,1995-05-17
106885,70041,1991-03-12,1992-03-11
106886,40000,1999-02-21,2000-02-21
106887,53860,1993-07-18,1994-07-18
106888,58013,1986-06-13,1987-06-13
106889,42344,1991-10-20,1992-10-19
106890,75191,1992-06-21,1993-06-21
106891,40000,1986-05-13,1987-05-13
106892,40000,1987-06-03,1988-06-02
106893,70076,1991-03-11,1992-03-10
106894,59058,1995-12-10,1996-12-09
106895,106036,1996-07-05,1997-07-05
106896,40000,1986-05-19,1987-05-19
106897,86978,1986-10-06,1987-10-06
106898,53837,1993-04-15,1994-04-15
106899,47093,1988-12-30,1989-12-30
106900,40000,1994-11-19,1995-11-19
106901,60600,1987-08-12,1988-08-11
106902,62833,1998-03-03,1999-03-03
106903,47015,1996-10-31,1997-10-31
106904,40000,1996-11-29,1997-11-29
106905,57546,1997-07-29,1998-07-29
106906,70820,1992-07-02,1993-07-02
106907,41261,1998-01-29,1999-01-29
106908,58053,1987-07-18,1988-07-17
106909,40000,1986-10-31,1987-10-31
106910,43058,1990-06-27,1991-06-27
106911,43981,1995-08-13,1996-08-12
106912,40000,1994-08-05,1995-08-05
106913,47840,1993-03-08,1994-03-08
106914,40000,1987-01-20,1988-01-20
106915,40000,1991-03-15,1992-03-14
106916,42468,1997-07-12,1998-07-12
106917,86389,1995-07-26,1996-07-25
106918,63784,1988-05-01,1989-05-01
106919,40000,1999-11-02,2000-11-01
106920,62364,1994-02-21,1995-02-21
106921,57099,1998-10-30,1999-10-30
106922,45509,1989-04-21,1990-04-21
106923,40464,1997-10-23,1998-10-23
106924,42532,1993-05-28,1994-05-28
106925,40000,1995-07-28,1996-07-27
106926,51677,1995-06-22,1996-06-21
106927,40000,1997-08-24,1998-08-24
106928,50376,1991-12-12,1992-12-11
106929,42968,1992-08-19,1993-08-19
106930,43803,1990-10-27,1991-10-27
106931,40000,1990-09-21,1991-09-21
106932,40000,1987-03-08,1988-03-07
106933,89360,1991-11-09,1992-11-08
106934,40000,1988-09-17,1989-09-17
106935,78007,1988-07-28,1989-07-28
106936,67942,1987-03-07,1988-03-06
106937,53007,1986-11-30,1987-11-30
106938,42968,1990-09-13,1991-09-13
106939,87482,1996-09-22,1997-09-22
106940,73505,1990-07-19,1991-07-19
106941,80766,1990-04-07,1991-04-06
106942,50073,1990-06-11,1991-06-11
106943,46746,1985-06-11,1986-06-11
106944,61148,1999-08-15,2000-08-14
106945,40520,1986-11-20,1987-11-20
106946,100204,1985-12-07,1986-12-07
106947,49407,1999-12-07,2000-12-06
106948,40000,1996-03-24,1997-03-24
106949,40000,1988-11-27,1989-11-27
106950,48207,1993-05-30,1994-05-30
106951,40000,1998-06-15,1999-06-15
106952,75817,1992-01-03,1993-01-02
106953,51195,1988-03-12,1989-03-12
106954,40000,1990-02-06,1991-02-06
106955,49595,1995-02-24,1996-02-24
106956,40000,1999-03-22,2000-03-21
106957,50525,1996-10-24,1997-10-24
106958,62767,1985-11-06,1986-11-06
106959,91966,1985-09-03,1986-09-03
106960,45102,1998-06-17,1999-06-17
106961,40000,1998-06-01,1999-06-01
106962,60219,1985-06-01,1986-06-01
106963,40000,1997-06-19,1998-06-19
106964,57698,1986-04-22,1987-04-22
106965,47272,1991-10-24,1992-10-23
106966,57862,1998-11-07,1999-11-07
106967,40000,1997-12-02,1998-12-02
106968,40000,1999-06-06,2000-06-05
106969,51380,1996-07-05,1997-07-05
106970,51754,1986-11-15,1987-11-15
106971,86162,1997-11-27,1998-11-27
106972,40000,1991-02-04,1992-02-04
106973,40000,1988-06-07,1989-06-07
106974,67320,1996-09-08,1997-09-08
106975,83334,1999-10-25,2000-06-15
106976,70662,1987-01-31,1988-01-31
106977,49949,1987-11-09,1988-11-08
106978,78467,1996-01-11,1997-01-10
106979,40000,1993-09-22,1994-09-22
106980,77469,1985-07-21,1986-07-21
106981,40000,1985-06-09,1986-06-09
106982,40000,1989-05-20,1990-05-20
106983,40000,1992-06-05,1993-06-05
106984,40000,1994-02-09,1995-02-09
106985,40000,1986-04-18,1987-04-18
106986,53281,1985-09-11,1986-09-11
106987,40000,1985-09-20,1986-09-20
106988,56543,1997-09-08,1998-09-08
106989,61381,1986-03-14,1987-03-14
106990,100284,1985-10-01,1986-10-01
106991,40000,1986-10-21,1987-10-21
106992,96871,1997-06-09,1998-06-09
106993,45334,1998-05-28,1999-05-28
106994,54805,1985-07-16,1986-07-16
106995,53905,1988-09-17,1989-09-17
106996,40000,1993-11-24,1994-11-24
106997,40000,1989-01-25,1990-01-25
106998,78151,1993-10-05,1994-05-08
106999,69075,1996-05-03,1997-05-03
107000,58611,1987-03-28,1988-03-27
107001,50177,1998-11-18,1999-11-18
107002,40000,1997-05-19,1998-05-19
107003,86443,2000-01-09,2001-01-08
107004,84649,1998-02-17,1999-02-17
107005,40000,1998-06-09,1999-06-09
107006,40000,1993-11-29,1994-11-29
107007,69062,1994-10-03,1995-10-03
107008,80241,1985-04-03,1986-04-03
107009,57437,1994-09-11,1995-09-11
107010,61469,1997-09-13,1998-09-13
107011,84601,1994-07-22,1995-07-22
107012,56263,1993-11-17,1994-11-17
107013,68415,1991-02-20,1992-02-20
107014,48129,1994-12-10,1995-12-10
107015,40000,1985-02-24,1986-02-24
107016,76727,1995-05-14,1996-05-13
107017,46157,1994-07-09,1995-07-09
107018,40000,1988-08-22,1989-08-22
107019,81407,1988-11-08,1989-11-08
107020,73433,1998-08-28,1999-08-28
107021,51623,1986-05-29,1987-05-29
107022,62623,2000-01-29,2001-01-28
107023,52099,1999-05-09,2000-05-08
107024,40000,1992-11-16,1993-11-16
107025,44790,1988-07-13,1989-07-13
107026,42174,1987-06-19,1988-06-18
107027,58504,1995-04-17,1996-04-16
107028,71794,1999-06-19,2000-06-18
107029,53825,1996-07-03,1997-07-03
107030,40000,1985-09-21,1986-09-21
107031,62665,1985-08-13,1986-08-13
107032,84400,1987-12-01,1988-11-30
107033,40000,1987-07-18,1988-07-17
107034,42286,1998-05-03,1999-05-03
107035,43657,1991-03-03,1992-03-02
107036,56804,1996-05-27,1997-05-27
107037,43920,1998-10-15,1999-10-15
107038,40000,1998-02-26,1999-02-26
107039,72548,1996-04-27,1997-04-27
107040,40000,1992-01-12,1993-01-11
107041,73921,1994-02-19,1995-02-19
107042,40000,1998-11-13,1999-11-13
107043,40000,1986-05-31,1987-05-31
107044,40000,1985-06-09,1986-06-09
107045,67918,1998-10-08,1999-10-08
107046,40000,1997-09-25,1998-09-25
107047,60261,1996-03-28,1997-03-28
107048,40000,1990-10-16,1991-10-16
107049,55879,1992-03-27,1993-03-27
107050,40000,1992-09-12,1993-09-12
107051,78085,1992-03-15,1993-03-15
107052,53339,1999-12-24,2000-12-23
107053,40000,1987-06-27,1988-06-26
107054,58509,1998-08-30,1999-08-30
107055,48112,1995-07-18,1996-07-17
107056,92568,1998-12-19,1999-12-19
107057,40000,1985-04-09,1986-04-09
107058,50696,1988-03-12,1989-03-12
107059,78097,1996-08-21,1997-08-21
107060,40000,1989-10-13,1990-10-13
107061,54365,1990-03-10,1991-03-10
107062,43874,1991-04-07,1992-04-06
107063,40000,1985-08-12,1986-08-12
107064,40000,1993-09-05,1994-09-05
107065,40000,1996-11-18,1997-11-18
107066,40000,1991-12-23,1992-12-22
107067,40000,1997-04-26,1998-04-26
107068,47929,1994-04-24,1995-04-24
107069,40404,1987-03-26,1988-03-25
107070,58608,1992-05-26,1993-05-26
107071,74890,1999-04-16,2000-01-18
107072,49598,1989-07-07,1990-07-07
107073,40000,1996-10-27,1997-10-26
107074,40000,1989-10-18,1990-10-18
107075,47936,1994-06-12,1995-06-12
107076,73189,1991-08-08,1992-08-07
107077,40000,1986-08-11,1987-08-11
107078,71308,1988-05-30,1989-05-30
107079,75351,1991-03-01,1992-02-29
107080,53326,1998-07-04,1999-07-04
107081,40000,1988-07-01,1989-07-01
